gvkey,state,d_udl
001001,OK,0
001002,MD,0
001003,MO,0
001004,IL,0
001005,FL,1
001006,IN,0
001007,NY,0
001008,CA,0
001009,OH,0
001010,MO,0
001011,PA,1
001012,RI,1
001013,MN,0
001014,AL,0
001015,NY,0
001016,WI,1
001017,PA,1
001018,IL,0
001019,NY,0
001020,GA,1
001021,NY,0
001022,MI,1
001023,NJ,0
001024,CO,0
001025,NY,0
001028,NJ,0
001029,NY,0
001030,MA,1
001032,ME,1
001033,TX,1
001034,NJ,0
001036,NC,1
001037,PA,1
001038,MO,0
001039,NY,0
001040,VA,1
001041,AZ,1
001042,TX,1
001043,IL,0
001045,TX,1
001046,CO,0
001047,CT,1
001048,TX,1
001049,NY,0
001050,TX,1
001052,NY,0
001053,NY,0
001054,CA,0
001055,CA,0
001056,NY,0
001057,CT,1
001058,FL,1
001059,TX,1
001061,IL,0
001062,CA,0
001063,NV,0
001064,AZ,1
001065,CA,0
001066,OH,0
001067,CT,1
001068,MO,0
001069,CA,0
001070,PA,1
001072,SC,1
001073,NJ,0
001074,AZ,1
001075,AZ,1
001076,UT,1
001077,TX,1
001078,IL,0
001081,QC,0
001082,GA,1
001083,CA,0
001084,MA,1
001085,NY,0
001086,OK,0
001087,CO,0
001088,CA,0
001089,TX,1
001090,OH,0
001091,IL,0
001092,TX,1
001093,OH,0
001094,NY,0
001095,WA,0
001096,ON,0
001097,CT,1
001098,OH,0
001099,WI,1
001100,CA,0
001102,IL,0
001103,MI,1
001104,CT,1
001106,CA,0
001107,IL,0
001108,NY,0
001109,FL,1
001111,CA,0
001112,CT,1
001113,MA,1
001114,MA,1
001115,CA,0
001116,TX,1
001117,FL,1
001118,RI,1
001119,MD,0
001120,NC,1
001121,TX,1
001122,MA,1
001123,GA,1
001124,NY,0
001125,MA,1
001126,CA,0
001127,PA,1
001128,CA,0
001129,KS,0
001130,NJ,0
001132,ME,1
001134,FL,1
001135,TX,1
001136,MI,1
001137,MN,0
001138,IL,0
001139,CA,0
001140,MI,1
001141,NY,0
001142,NV,0
001143,CA,0
001144,TX,1
001145,IL,0
001146,MA,1
001147,MN,0
001148,CT,1
001150,FL,1
001151,MN,0
001153,NY,0
001154,MN,0
001155,FL,1
001157,CA,0
001159,OH,0
001160,FL,1
001161,CA,0
001162,IA,1
001163,TX,1
001164,NJ,0
001165,PA,1
001167,CA,0
001168,CT,1
001169,CA,0
001170,GA,1
001171,GA,1
001172,NY,0
001173,FL,1
001174,NC,1
001175,MA,1
001176,NC,1
001177,CT,1
001178,CO,0
001179,TX,1
001180,MO,0
001181,MA,1
001182,GA,1
001183,NY,0
001184,OK,0
001186,ON,0
001188,OR,0
001189,ON,0
001190,NY,0
001191,TX,1
001193,NY,0
001194,CA,0
001195,NY,0
001197,NY,0
001199,KS,0
001201,CA,0
001202,CA,0
001203,CT,1
001204,FL,1
001205,CA,0
001206,CA,0
001208,KS,0
001209,PA,1
001210,NC,1
001212,WI,1
001213,WA,0
001214,CA,0
001216,KS,0
001217,FL,1
001219,NJ,0
001220,OH,0
001221,NC,1
001222,CA,0
001223,AL,0
001224,AL,0
001225,AL,0
001226,WV,0
001227,AZ,1
001228,AZ,1
001230,WA,0
001231,UT,1
001232,AK,0
001233,WA,0
001234,TX,1
001235,NC,1
001236,NY,0
001238,AB,0
001239,IL,0
001240,ID,1
001241,CA,0
001242,NM,0
001243,QC,0
001244,WA,0
001245,PA,1
001246,PA,1
001247,MD,0
001248,TX,1
001249,KS,0
001250,MA,1
001251,GA,1
001252,WI,1
001253,NY,0
001254,HI,1
001255,OK,0
001256,NY,0
001257,NJ,0
001258,TX,1
001259,NJ,0
001260,VA,1
001261,CA,0
001262,ON,0
001263,ON,0
001264,NY,0
001265,NV,0
001266,FL,1
001267,NY,0
001268,CA,0
001269,CA,0
001270,FL,1
001271,CA,0
001272,NY,0
001273,MT,1
001274,NY,0
001275,WV,0
001276,FL,1
001277,MD,0
001278,FL,1
001279,PA,1
001281,OH,0
001282,MI,1
001283,PA,1
001284,CA,0
001286,WA,0
001290,TX,1
001292,OH,0
001293,GA,1
001294,NY,0
001296,OK,0
001297,IL,0
001298,MD,0
001299,PA,1
001300,NC,1
001301,OH,0
001302,MI,1
001303,OH,0
001304,AR,0
001306,IL,0
001307,WI,1
001308,TX,1
001310,PA,1
001311,MI,1
001312,IA,1
001314,TN,0
001315,CT,1
001316,DE,0
001317,IA,1
001318,AR,0
001319,MA,1
001320,CA,0
001322,MA,1
001324,GA,1
001325,HI,1
001326,CT,1
001327,CA,0
001328,AZ,1
001329,NJ,0
001330,IL,0
001331,NJ,0
001332,CO,0
001333,FL,1
001334,CA,0
001335,NY,0
001336,PA,1
001337,IL,0
001338,TX,1
001339,UT,1
001340,TX,1
001341,IL,0
001342,PR,0
001343,LA,0
001344,OK,0
001345,GA,1
001346,CA,0
001347,CO,0
001348,CA,0
001349,IL,0
001350,CA,0
001351,MA,1
001352,MD,0
001356,NY,0
001357,QC,0
001359,CA,0
001360,UT,1
001361,PA,1
001362,ID,1
001363,TX,1
001364,OK,0
001365,NY,0
001367,CO,0
001368,UT,1
001369,FL,1
001370,OH,0
001372,OH,0
001373,IL,0
001374,OK,0
001375,NY,0
001377,MO,0
001378,CA,0
001379,ON,0
001380,NY,0
001381,GA,1
001382,AZ,1
001383,CA,0
001384,AL,0
001385,MO,0
001386,FL,1
001387,KY,0
001388,TX,1
001390,WI,1
001391,CA,0
001392,CA,0
001393,NV,0
001394,NY,0
001395,PA,1
001396,PA,1
001397,MA,1
001403,NJ,0
001408,IL,0
001409,NY,0
001410,NY,0
001411,GA,1
001412,CA,0
001413,WA,0
001414,GA,1
001415,FL,1
001416,FL,1
001417,GA,1
001418,KS,0
001419,TX,1
001420,CA,0
001421,CA,0
001422,FL,1
001423,UT,1
001424,FL,1
001425,DE,0
001426,AZ,1
001427,OH,0
001428,NC,1
001429,MN,0
001430,NJ,0
001431,CA,0
001432,PA,1
001433,CT,1
001434,FL,1
001435,PA,1
001437,CA,0
001439,ID,1
001440,OH,0
001441,CA,0
001442,CA,0
001443,CO,0
001444,NV,0
001445,IA,1
001446,TX,1
001447,NY,0
001448,NY,0
001449,GA,1
001450,WI,1
001451,MN,0
001452,CA,0
001453,MD,0
001454,OK,0
001455,OH,0
001456,VA,1
001458,IN,0
001459,MA,1
001460,OR,0
001461,CA,0
001462,CT,1
001463,VA,1
001464,MA,1
001465,TX,1
001466,MA,1
001467,CO,0
001468,OH,0
001469,RI,1
001470,OR,0
001471,DC,0
001472,PA,1
001473,CO,0
001474,FL,1
001475,CT,1
001476,CA,0
001477,AR,0
001478,NY,0
001479,TN,0
001480,CA,0
001481,IL,0
001482,IL,0
001483,IL,0
001484,NV,0
001485,IL,0
001487,NY,0
001488,CA,0
001489,MO,0
001490,PA,1
001492,SC,1
001493,HI,1
001494,AZ,1
001495,NY,0
001496,NV,0
001497,NY,0
001498,CT,1
001499,NY,0
001500,ME,1
001501,TN,0
001502,WA,0
001503,CA,0
001504,NY,0
001505,PA,1
001506,WI,1
001507,NY,0
001508,WI,1
001509,CA,0
001511,GA,1
001512,CA,0
001513,CA,0
001514,IN,0
001515,SC,1
001516,VA,1
001517,CA,0
001518,NV,0
001522,NJ,0
001523,NY,0
001524,UT,1
001525,UT,1
001526,TX,1
001527,TX,1
001528,MI,1
001529,OR,0
001530,WY,1
001531,CA,0
001532,TX,1
001533,UT,1
001534,CA,0
001535,MA,1
001536,CA,0
001537,TX,1
001538,NJ,0
001539,TX,1
001540,TX,1
001541,MA,1
001542,NY,0
001543,AZ,1
001544,TX,1
001545,TX,1
001546,CA,0
001547,CA,0
001548,LA,0
001549,CO,0
001550,OK,0
001551,TX,1
001553,FL,1
001554,MA,1
001555,MI,1
001556,DC,0
001558,FL,1
001559,CA,0
001560,FL,1
001561,MA,1
001562,GA,1
001563,GA,1
001564,TX,1
001566,VA,1
001567,NJ,0
001568,TX,1
001569,NJ,0
001570,IL,0
001571,PA,1
001572,UT,1
001573,UT,1
001574,CO,0
001575,AZ,1
001577,NY,0
001578,NY,0
001579,BC,0
001580,NY,0
001581,NJ,0
001582,CO,0
001583,FL,1
001584,IN,0
001585,CA,0
001586,NY,0
001587,NJ,0
001588,OH,0
001589,SD,0
001590,MA,1
001592,OH,0
001593,CA,0
001594,CT,1
001595,OH,0
001596,IL,0
001597,GA,1
001598,PA,1
001599,CA,0
001600,NY,0
001601,IL,0
001602,CA,0
001603,IL,0
001604,MA,1
001606,CA,0
001608,PA,1
001609,TX,1
001610,TX,1
